Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.1,98.6,50,SS,25.14,804.300694,22.620520820043332,IT,CEL,-0.055095000000000005,0.042831,-0.03084,0.055108,0.0571,0.061717,0.08530599999999999,0.030897000000000008,0.037158,0.067615,0.07445
4.1,221.2,50,SS,25.14,1247.096671,22.620520820043332,IT,TIP,0.004453,-0.003295,0.002964,0.004455,0.0047350000000000005,0.005268,0.005197,0.002965,0.003407,0.003695,0.004915
4.8,215.1,50,SS,19.8,832.288417,22.620520820043332,IT,ASOL,0.394036,-0.269722,0.13938399999999998,0.394223,0.406446,0.452992,0.495459,0.13939200000000002,0.142638,0.147608,0.199084
4.8,184.0,50,SS,19.8,919.821183,22.620520820043332,IT,ATLO,-0.115253,-0.12261,0.016866,0.115261,0.117643,0.12492,0.128163,0.016878999999999998,0.017643,0.020063,0.027559
4.8,184.3,50,SS,19.8,1271.117035,22.620520820043332,IT,BAG8,0.315184,-0.161916,-0.153481,0.315643,0.324258,0.339299,0.351944,0.15363,0.15541,0.188706,0.196129
4.8,16.6,50,SS,19.8,1318.656565,22.620520820043332,IT,BDI,-81.71288100000002,-61.945582,-37.681764,81.8831,88.7409,107.552,206.793,37.7694,51.2703,90.5949,101.641
4.8,103.9,50,SS,19.8,391.524994,22.620520820043332,IT,BOB,-0.8228620000000001,0.551578,0.358302,0.8236040000000001,0.8439459999999999,0.8864629999999999,1.14583,0.358542,0.372651,0.566083,0.809922
4.8,153.6,50,SS,19.8,314.973657,22.620520820043332,IT,CAFI,0.121933,0.141333,-0.101708,0.122003,0.124464,0.130925,0.16658499999999998,0.101843,0.106787,0.114121,0.184658
4.8,163.8,50,SS,19.8,277.0,22.620520820043332,IT,CDCA,0.366743,0.551349,-0.337927,0.367408,0.501862,0.603279,0.7339600000000001,0.339227,0.507192,0.354239,0.378977
4.8,161.2,50,SS,19.8,373.388676,22.620520820043332,IT,CNCS,-0.972209,-1.192974,-0.258535,0.972317,0.985875,1.01198,1.1246,0.259199,0.266264,0.516964,0.401877
4.8,155.7,50,SS,19.8,568.414923,22.620520820043332,IT,CPGN,-0.158883,-0.149248,-0.105352,0.159117,0.158823,0.164547,0.172439,0.105595,0.106969,0.111513,0.113636
4.8,59.3,50,SS,19.8,693.446715,22.620520820043332,IT,CRMI,-2.714212,-3.023007,-1.780255,2.72468,3.40931,4.374230000000002,6.06505,1.7817900000000002,1.91716,3.08205,2.69955
4.8,115.2,50,SS,19.8,413.23605200000003,22.620520820043332,IT,FAEN,-0.7445890000000001,0.83409,0.12095999999999997,0.745223,0.76168,0.790254,0.787483,0.121147,0.114803,0.140318,0.24471
4.8,78.1,50,SS,19.8,724.215757,22.620520820043332,IT,FIR,4.601312999999998,-3.556513,-1.02694,4.6017199999999985,4.70186,5.28641,5.49474,1.03369,1.22736,1.52772,2.18761
4.8,189.1,50,SS,19.8,767.570529,22.620520820043332,IT,MERA,-0.430748,0.761621,0.238454,0.430986,0.52322,0.5732520000000001,0.640421,0.238462,0.241941,0.31599,0.351138
4.8,193.6,50,SS,19.8,356.084331,22.620520820043332,IT,MGAB,-0.098387,-0.110788,-0.047402,0.098388,0.098704,0.101369,0.103909,0.047407,0.049432,0.051213,0.06387000000000001
4.8,174.9,50,SS,19.8,531.702969,22.620520820043332,IT,MILN,-0.290619,0.293208,0.057970000000000015,0.291613,0.304441,0.489617,0.512139,0.057974,0.120308,0.22725,0.219209
4.8,220.4,50,SS,19.8,364.3523,22.620520820043332,IT,MMUR,-0.180064,0.16953900000000002,-0.07697899999999999,0.180119,0.222269,0.204104,0.23515300000000006,0.078385,0.218533,0.076045,0.120194
4.8,112.8,50,SS,19.8,237.0,22.620520820043332,IT,MNTV,0.579579,0.620938,-0.364264,0.579907,0.617505,0.62946,0.754995,0.364297,0.829347,0.915039,0.714855
4.8,65.4,50,SS,19.8,515.7367929999999,22.620520820043332,IT,MODE,-7.655966999999999,-3.472401,5.2743449999999985,7.662789999999998,7.75508,8.03932,8.21358,5.27873,5.28619,5.59914,6.90635
4.8,195.2,50,SS,19.8,790.1021139999999,22.620520820043332,IT,MPAG,0.086235,-0.084648,-0.08109,0.08630800000000001,0.087899,0.100911,0.115597,0.081137,0.083216,0.086364,0.088002
4.8,79.9,50,SS,19.8,1007.237148,22.620520820043332,IT,MTRZ,-0.922663,-0.9001950000000001,-0.432071,0.922843,0.929237,0.941562,0.965944,0.432202,0.437321,0.457573,0.484422
4.8,195.2,50,SS,19.8,846.8505869999999,22.620520820043332,IT,MURB,0.477317,-0.461374,0.165757,0.477951,0.489426,0.540108,0.6369279999999999,0.166116,0.182267,0.184478,0.238471
4.8,47.7,50,SS,19.8,946.7131380000001,22.620520820043332,IT,NEVI,-5.575075,-4.120617,0.592541,5.58072,5.67079,5.87329,6.46161,0.5925600000000001,0.6103350000000001,0.6739,0.713337
4.8,139.5,50,SS,19.8,264.0,28.42161812909285,IT,OPPE,0.59431,-0.473557,0.284355,0.594495,0.641323,0.626553,0.775101,0.284451,0.303031,0.468549,0.480895
4.8,143.8,50,SS,19.8,1432.266876,28.42161812909285,IT,ORZI,-0.370442,-0.405799,0.187772,0.370443,0.379324,0.440444,0.424372,0.188266,0.198857,0.376758,0.427253
4.8,188.1,50,SS,19.8,780.226277,28.849281407516518,IT,SACS,-0.049049,-0.067932,-0.039437,0.049067,0.049895,0.051374,0.050847,0.039443,0.04067,0.040633,0.042658
4.8,188.0,50,SS,19.8,321.0,29.408603361600058,IT,SANR,-0.382892,0.431309,0.154054,0.383537,0.4188020000000001,0.605558,1.38085,0.154149,0.155306,0.204554,0.309781
